Designator,Mid X,Mid Y,Rotation,Layer
R25,191.6,-90.6,270.0,bottom
R26,193.8,-89.6,270.0,bottom
R27,193.8,-91.6,90.0,bottom
R28,199.4,-89.6,270.0,bottom
R29,203.6,-74.3,270.0,bottom
R3,231.6,-121.6,270.0,bottom
R30,201.6,-86.6,90.0,bottom
R31,199.4,-86.6,270.0,bottom
R32,199.4,-91.6,90.0,bottom
R33,211.6,-86.6,90.0,bottom
R34,206.6,-67.6,90.0,bottom
R35,211.6,-90.6,270.0,bottom
R36,213.9,-89.6,270.0,bottom
R37,213.9,-91.6,90.0,bottom
R38,219.4,-89.6,270.0,bottom
R39,223.6,-74.3,270.0,bottom
R4,216.6,-119.4,0.0,bottom
R40,221.6,-86.6,90.0,bottom
R41,219.4,-86.6,270.0,bottom
R42,219.4,-91.6,90.0,bottom
R43,231.6,-86.6,90.0,bottom
R44,226.6,-67.6,90.0,bottom
R45,161.6,-122.1,270.0,bottom
R46,179.0,-109.8,180.0,bottom
R47,161.6,-108.6,90.0,bottom
R48,161.6,-135.6,270.0,bottom
R49,181.6,-108.6,270.0,bottom
R5,221.6,-118.6,270.0,bottom
R50,172.8,-108.6,270.0,bottom
R51,179.0,-107.4,180.0,bottom
R52,174.0,-108.6,90.0,bottom
R53,181.6,-149.1,270.0,bottom
R54,161.6,-149.1,270.0,bottom
R55,179.0,-108.6,180.0,bottom
R56,179.6,-99.3,90.0,bottom
R57,159.6,-99.3,90.0,bottom
R58,174.3,-132.8,0.0,bottom
R59,171.6,-131.6,90.0,bottom
R6,231.6,-118.6,270.0,bottom
R60,171.6,-135.6,270.0,bottom
R61,174.3,-131.6,0.0,bottom
R62,174.3,-130.4,180.0,bottom
R63,173.8,-137.5,270.0,bottom
R64,171.6,-149.1,270.0,bottom
R65,169.6,-99.3,90.0,bottom
R66,191.6,-131.6,90.0,bottom
R67,192.8,-131.6,270.0,bottom
R68,189.5,-124.7,90.0,bottom
R69,189.6,-99.3,90.0,bottom
R7,214.1,-121.6,270.0,bottom
R70,184.4,-144.7,270.0,bottom
R71,181.6,-135.6,270.0,bottom
R72,184.4,-142.7,270.0,bottom
R73,180.4,-135.6,90.0,bottom
R74,191.6,-135.6,270.0,bottom
R75,179.2,-131.6,270.0,bottom
R76,180.4,-131.6,270.0,bottom
R77,181.6,-131.6,90.0,bottom
R78,178.0,-131.6,270.0,bottom
R79,191.6,-149.1,270.0,bottom
R8,159.4,-89.6,270.0,bottom
R80,201.6,-107.2,270.0,bottom
R81,201.6,-135.6,270.0,bottom
R82,203.9,-118.6,180.0,bottom
R83,191.6,-107.2,270.0,bottom
R84,201.6,-149.1,270.0,bottom
R85,199.5,-124.7,270.0,bottom
R86,201.6,-118.6,0.0,bottom
R87,199.3,-118.6,180.0,bottom
R88,199.6,-99.3,90.0,bottom
R89,203.7,-55.8,270.0,bottom
R9,163.6,-74.3,270.0,bottom
R90,207.2,-55.8,270.0,bottom
R91,213.6,-68.0,180.0,bottom
R92,212.0,-63.0,270.0,bottom
R93,229.1,-60.6,270.0,bottom
R94,224.2,-61.2,270.0,bottom
R95,227.8,-61.1,270.0,bottom
R96,221.2,-64.1,270.0,bottom
R97,211.6,-149.1,270.0,bottom
R98,211.59,-132.9,270.0,bottom
R99,214.1,-133.3,0.0,bottom
RV1,166.6,-61.175,0.0,top
RV2,186.6,-61.175,0.0,top
RV3,206.6,-61.175,0.0,top
RV4,226.6,-61.175,0.0,top
SW1,161.6,-74.3,0.0,top
SW2,171.6,-74.3,0.0,top
SW3,181.6,-74.3,0.0,top
SW4,191.6,-74.3,0.0,top
SW5,201.6,-74.3,0.0,top
SW6,211.6,-74.3,0.0,top
SW7,221.6,-74.3,0.0,top
SW8,231.6,-74.3,0.0,top
U1,166.6,-88.6,270.0,bottom
U10,186.6,-133.6,270.0,bottom
U11,206.6,-133.6,270.0,bottom
U12,226.6,-133.6,270.0,bottom
U13,226.6,-120.1,90.0,bottom
U14,216.6,-63.0,90.0,bottom
U15,216.6,-122.1,90.0,bottom
U2,186.6,-88.6,270.0,bottom
U3,206.6,-88.6,270.0,bottom
U4,226.6,-88.6,270.0,bottom
U5,166.6,-106.6,270.0,bottom
U6,186.6,-106.6,270.0,bottom
U7,206.6,-106.6,270.0,bottom
U8,226.6,-106.6,270.0,bottom
U9,166.6,-133.6,270.0,bottom
