Designator,Mid X,Mid Y,Rotation,Layer
C1,191.75,-69.5,180.0,bottom
C10,215.0,-79.75,90.0,bottom
C11,165.0,-97.75,270.0,bottom
C12,185.0,-97.75,270.0,bottom
C13,205.0,-97.75,270.0,bottom
C14,225.0,-97.75,270.0,bottom
C15,155.0,-97.75,90.0,bottom
C16,175.0,-97.75,90.0,bottom
C17,195.0,-97.75,90.0,bottom
C18,215.0,-97.75,90.0,bottom
C19,165.0,-124.5,270.0,bottom
C2,188.25,-69.5,180.0,bottom
C20,185.0,-124.5,270.0,bottom
C21,206.75,-124.5,90.0,bottom
C22,205.0,-124.5,270.0,bottom
C23,225.0,-124.5,270.0,bottom
C24,155.0,-124.5,90.0,bottom
C25,175.0,-124.5,90.0,bottom
C26,193.25,-124.5,270.0,bottom
C27,195.0,-124.5,90.0,bottom
C28,215.0,-124.49,90.0,bottom
C29,211.0,-55.25,0.0,bottom
C3,165.0,-79.75,270.0,bottom
C30,210.0,-49.25,0.0,bottom
C31,211.0,-140.75,0.0,bottom
C32,210.0,-134.75,0.0,bottom
C33,211.0,-113.75,0.0,bottom
C34,210.0,-107.75,0.0,bottom
C35,155.0,-81.75,270.0,bottom
C36,175.0,-81.75,270.0,bottom
C37,195.0,-81.73,270.0,bottom
C38,215.0,-81.75,270.0,bottom
C39,166.0,-126.5,270.0,bottom
C4,185.0,-79.75,270.0,bottom
C40,166.25,-99.75,270.0,bottom
C41,200.0,-131.25,180.0,top
C42,197.5,-139.0,0.0,bottom
C43,202.5,-139.0,0.0,bottom
C44,190.0,-117.75,180.0,top
C45,201.0,-115.25,0.0,bottom
C46,226.25,-95.75,90.0,bottom
C5,205.0,-79.75,270.0,bottom
C6,225.0,-79.75,270.0,bottom
C7,155.0,-79.75,90.0,bottom
C8,175.0,-79.75,90.0,bottom
C9,195.0,-79.75,90.0,bottom
D1,191.0,-66.75,90.0,bottom
D10,185.0,-87.75,0.0,top
D11,181.75,-128.5,180.0,bottom
D12,181.75,-130.5,0.0,bottom
D13,198.5,-101.75,0.0,bottom
D14,191.75,-101.25,0.0,bottom
D15,191.75,-99.25,0.0,bottom
D16,181.5,-101.75,0.0,bottom
D17,188.25,-101.25,0.0,bottom
D18,188.25,-99.25,0.0,bottom
D19,195.0,-87.75,0.0,top
D2,189.0,-66.75,270.0,bottom
D20,192.0,-120.25,0.0,bottom
D21,205.0,-87.75,0.0,top
D22,200.0,-117.5,270.0,bottom
D23,215.0,-87.75,0.0,top
D24,225.0,-87.75,0.0,top
D3,160.0,-71.75,0.0,top
D4,180.0,-71.75,0.0,top
D5,200.0,-71.75,0.0,top
D6,220.0,-71.75,0.0,top
D7,155.0,-87.75,0.0,top
D8,165.0,-87.75,0.0,top
D9,175.0,-87.75,0.0,top
J1,190.0,-55.25,0.0,bottom
